Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,226.149994,228.699997,224.750000,227.250000,227.250000,0
2020-12-11,226.800003,227.350006,224.600006,224.850006,224.850006,275
2020-12-14,224.300003,227.399994,224.300003,226.699997,226.699997,11
2020-12-15,225.750000,227.000000,220.949997,223.149994,223.149994,0
2020-12-16,225.000000,227.449997,223.800003,227.350006,227.350006,50
2020-12-17,226.500000,227.800003,224.949997,224.949997,224.949997,1
2020-12-18,222.899994,224.149994,222.000000,222.699997,222.699997,0
2020-12-21,227.600006,227.600006,219.699997,223.399994,223.399994,36
2020-12-22,222.449997,223.300003,218.350006,218.350006,218.350006,1
2020-12-23,219.399994,222.600006,218.600006,222.600006,222.600006,940
2020-12-28,218.449997,226.649994,218.449997,226.649994,226.649994,49
2020-12-29,227.350006,228.250000,225.800003,227.399994,227.399994,0
2020-12-30,225.750000,226.600006,225.750000,225.899994,225.899994,0
2021-01-04,224.750000,224.750000,217.550003,219.199997,219.199997,113
2021-01-05,220.100006,221.250000,218.800003,220.250000,220.250000,0
2021-01-06,214.899994,217.850006,212.550003,215.649994,215.649994,5
2021-01-07,216.899994,220.649994,215.199997,218.350006,218.350006,0
2021-01-08,220.750000,220.750000,215.399994,216.850006,216.850006,35
2021-01-11,216.600006,216.949997,212.250000,214.149994,214.149994,0
2021-01-12,211.750000,212.800003,206.649994,207.350006,207.350006,52
2021-01-13,207.399994,208.100006,205.250000,206.649994,206.649994,0
2021-01-14,207.600006,208.500000,204.100006,204.100006,204.100006,25
2021-01-15,202.000000,209.750000,202.000000,208.449997,208.449997,1
2021-01-18,209.000000,209.250000,208.550003,208.899994,208.899994,20
2021-01-19,212.550003,214.600006,208.350006,213.600006,213.600006,21
2021-01-20,218.100006,223.050003,217.000000,223.050003,223.050003,15
2021-01-21,222.300003,224.350006,220.850006,224.149994,224.149994,2
2021-01-22,223.250000,228.000000,222.550003,226.649994,226.649994,0
2021-01-25,227.399994,230.199997,225.350006,228.100006,228.100006,0
2021-01-26,227.449997,232.949997,227.449997,232.500000,232.500000,0
2021-01-27,234.000000,235.500000,225.600006,227.850006,227.850006,265
2021-01-28,219.750000,235.850006,219.600006,225.000000,225.000000,0
2021-01-29,216.600006,218.399994,211.300003,211.300003,211.300003,100
2021-02-01,215.899994,218.050003,211.149994,218.050003,218.050003,82
2021-02-02,218.800003,223.250000,218.750000,222.949997,222.949997,0
2021-02-03,223.050003,223.449997,219.899994,222.699997,222.699997,12
2021-02-04,223.000000,223.000000,220.550003,222.449997,222.449997,2
2021-02-05,223.550003,223.550003,222.050003,222.550003,222.550003,9
2021-02-08,223.300003,223.500000,220.500000,220.550003,220.550003,33
2021-02-09,221.000000,225.449997,219.399994,223.000000,223.000000,23
2021-02-10,223.699997,224.250000,220.850006,222.300003,222.300003,0
2021-02-11,224.149994,225.000000,221.699997,222.699997,222.699997,5
2021-02-12,221.149994,223.649994,221.149994,222.699997,222.699997,19
2021-02-15,223.199997,223.199997,221.850006,222.050003,222.050003,7
2021-02-16,222.399994,228.000000,222.399994,226.300003,226.300003,2
2021-02-17,225.000000,227.149994,224.100006,226.449997,226.449997,34
2021-02-18,226.500000,226.500000,220.800003,222.250000,222.250000,20
2021-02-19,221.199997,222.550003,215.699997,215.699997,215.699997,65
